Load_ind	Definition Year	Species Code	Species Name	Area Code	Area Description	Level Code	Level Description	Initial Quantity	Adapted Quota	Eurlex Ref	OJ Ref	Publication Date	Page Number	In regulation	Compute uptake
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	BEL	Belgium			32017R2403	L347	28-12-2017	81	Y	Y
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	EEC	European union			32017R2403	L347	28-12-2017	81	Y	Y
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	BGR	Bulgaria			32017R2403	L347	28-12-2017	81	Y	Y
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	CYP	Cyprus			32017R2403	L347	28-12-2017	81	Y	Y
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	DEU	Germany			32017R2403	L347	28-12-2017	81	Y	Y
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	DNK	Denmark			32017R2403	L347	28-12-2017	81	Y	Y
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	ESP	Spain			32017R2403	L347	28-12-2017	81	Y	Y
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	EST	Estonia			32017R2403	L347	28-12-2017	81	Y	Y
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	FIN	Finland			32017R2403	L347	28-12-2017	81	Y	Y
INIV	2020	AGO_CSQ	Angola direct agreement fishing category (Coastal State quota)	DIR_AUT	Direct Authorisations	FRA	France			32017R2403	L347	28-12-2017	81	Y	Y
